------------------------------This is the 3 time------------------------------
TRAIN---: 3---epoch:1---batch_idx: 0---Single loss=2.2903194427490234, ---Single correct=0.15625
TRAIN---: 3---epoch:1---batch_idx: 1---Single loss=2.3102264404296875, ---Single correct=0.109375
TRAIN---: 3---epoch:1---batch_idx: 2---Single loss=2.2992262840270996, ---Single correct=0.09375
TRAIN---: 3---epoch:1---batch_idx: 3---Single loss=2.283677816390991, ---Single correct=0.203125
TRAIN---: 3---epoch:1---batch_idx: 4---Single loss=2.2989425659179688, ---Single correct=0.09375
TRAIN---: 3---epoch:1---batch_idx: 5---Single loss=2.278461217880249, ---Single correct=0.1875
TRAIN---: 3---epoch:1---batch_idx: 6---Single loss=2.265665292739868, ---Single correct=0.140625
TRAIN---: 3---epoch:1---batch_idx: 7---Single loss=2.2810614109039307, ---Single correct=0.140625
TRAIN---: 3---epoch:1---batch_idx: 8---Single loss=2.288431167602539, ---Single correct=0.171875
TRAIN---: 3---epoch:1---batch_idx: 9---Single loss=2.2659707069396973, ---Single correct=0.15625
TRAIN---: 3---epoch:1---batch_idx: 10---Single loss=2.2609307765960693, ---Single correct=0.203125
TRAIN---: 3---epoch:1---batch_idx: 11---Single loss=2.2829959392547607, ---Single correct=0.140625
TRAIN---: 3---epoch:1---batch_idx: 12---Single loss=2.2580151557922363, ---Single correct=0.296875
TRAIN---: 3---epoch:1---batch_idx: 13---Single loss=2.2843613624572754, ---Single correct=0.125
TRAIN---: 3---epoch:1---batch_idx: 14---Single loss=2.2623109817504883, ---Single correct=0.171875
TRAIN---: 3---epoch:1---batch_idx: 15---Single loss=2.2440876960754395, ---Single correct=0.34375
TRAIN---: 3---epoch:1---batch_idx: 16---Single loss=2.244792938232422, ---Single correct=0.234375
TRAIN---: 3---epoch:1---batch_idx: 17---Single loss=2.252647876739502, ---Single correct=0.203125
TRAIN---: 3---epoch:1---batch_idx: 18---Single loss=2.243281126022339, ---Single correct=0.234375
TRAIN---: 3---epoch:1---batch_idx: 19---Single loss=2.242558002471924, ---Single correct=0.28125
TRAIN---: 3---epoch:1---batch_idx: 20---Single loss=2.237388849258423, ---Single correct=0.21875
TRAIN---: 3---epoch:1---batch_idx: 21---Single loss=2.2249279022216797, ---Single correct=0.21875
TRAIN---: 3---epoch:1---batch_idx: 22---Single loss=2.2065622806549072, ---Single correct=0.3125
TRAIN---: 3---epoch:1---batch_idx: 23---Single loss=2.2175965309143066, ---Single correct=0.296875
TRAIN---: 3---epoch:1---batch_idx: 24---Single loss=2.2146382331848145, ---Single correct=0.3125
TRAIN---: 3---epoch:1---batch_idx: 25---Single loss=2.2162485122680664, ---Single correct=0.28125
TRAIN---: 3---epoch:1---batch_idx: 26---Single loss=2.20857834815979, ---Single correct=0.28125
TRAIN---: 3---epoch:1---batch_idx: 27---Single loss=2.1880974769592285, ---Single correct=0.40625
TRAIN---: 3---epoch:1---batch_idx: 28---Single loss=2.192061185836792, ---Single correct=0.28125
TRAIN---: 3---epoch:1---batch_idx: 29---Single loss=2.1893444061279297, ---Single correct=0.296875
TRAIN---: 3---epoch:1---batch_idx: 30---Single loss=2.1666243076324463, ---Single correct=0.484375
TRAIN---: 3---epoch:1---batch_idx: 31---Single loss=2.144435167312622, ---Single correct=0.4375
TRAIN---: 3---epoch:1---batch_idx: 32---Single loss=2.1788125038146973, ---Single correct=0.359375
TRAIN---: 3---epoch:1---batch_idx: 33---Single loss=2.168562889099121, ---Single correct=0.390625
TRAIN---: 3---epoch:1---batch_idx: 34---Single loss=2.143866777420044, ---Single correct=0.359375
TRAIN---: 3---epoch:1---batch_idx: 35---Single loss=2.1693365573883057, ---Single correct=0.34375
TRAIN---: 3---epoch:1---batch_idx: 36---Single loss=2.141902446746826, ---Single correct=0.390625
TRAIN---: 3---epoch:1---batch_idx: 37---Single loss=2.1147754192352295, ---Single correct=0.4375
TRAIN---: 3---epoch:1---batch_idx: 38---Single loss=2.1737003326416016, ---Single correct=0.296875
TRAIN---: 3---epoch:1---batch_idx: 39---Single loss=2.1617276668548584, ---Single correct=0.375
TRAIN---: 3---epoch:1---batch_idx: 40---Single loss=2.088942527770996, ---Single correct=0.46875
TRAIN---: 3---epoch:1---batch_idx: 41---Single loss=2.1281862258911133, ---Single correct=0.421875
TRAIN---: 3---epoch:1---batch_idx: 42---Single loss=2.1330807209014893, ---Single correct=0.390625
TRAIN---: 3---epoch:1---batch_idx: 43---Single loss=2.103795289993286, ---Single correct=0.4375
TRAIN---: 3---epoch:1---batch_idx: 44---Single loss=2.1114799976348877, ---Single correct=0.359375
TRAIN---: 3---epoch:1---batch_idx: 45---Single loss=2.097743272781372, ---Single correct=0.5
TRAIN---: 3---epoch:1---batch_idx: 46---Single loss=2.10652232170105, ---Single correct=0.484375
TRAIN---: 3---epoch:1---batch_idx: 47---Single loss=2.0452442169189453, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 48---Single loss=2.0316197872161865, ---Single correct=0.46875
TRAIN---: 3---epoch:1---batch_idx: 49---Single loss=2.058666944503784, ---Single correct=0.46875
TRAIN---: 3---epoch:1---batch_idx: 50---Single loss=1.996068000793457, ---Single correct=0.5625
TRAIN---: 3---epoch:1---batch_idx: 51---Single loss=2.007075071334839, ---Single correct=0.484375
TRAIN---: 3---epoch:1---batch_idx: 52---Single loss=2.0218961238861084, ---Single correct=0.5
TRAIN---: 3---epoch:1---batch_idx: 53---Single loss=2.0347201824188232, ---Single correct=0.5
TRAIN---: 3---epoch:1---batch_idx: 54---Single loss=2.0340635776519775, ---Single correct=0.40625
TRAIN---: 3---epoch:1---batch_idx: 55---Single loss=2.027265787124634, ---Single correct=0.46875
TRAIN---: 3---epoch:1---batch_idx: 56---Single loss=1.9361069202423096, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 57---Single loss=1.957355260848999, ---Single correct=0.5625
TRAIN---: 3---epoch:1---batch_idx: 58---Single loss=2.0249292850494385, ---Single correct=0.453125
TRAIN---: 3---epoch:1---batch_idx: 59---Single loss=1.9602006673812866, ---Single correct=0.5
TRAIN---: 3---epoch:1---batch_idx: 60---Single loss=1.976962685585022, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 61---Single loss=1.9778509140014648, ---Single correct=0.5
TRAIN---: 3---epoch:1---batch_idx: 62---Single loss=1.934319257736206, ---Single correct=0.546875
TRAIN---: 3---epoch:1---batch_idx: 63---Single loss=1.9066836833953857, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 64---Single loss=1.9668892621994019, ---Single correct=0.4375
TRAIN---: 3---epoch:1---batch_idx: 65---Single loss=1.9277464151382446, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 66---Single loss=1.9768050909042358, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 67---Single loss=1.926240086555481, ---Single correct=0.4375
TRAIN---: 3---epoch:1---batch_idx: 68---Single loss=1.9209994077682495, ---Single correct=0.484375
TRAIN---: 3---epoch:1---batch_idx: 69---Single loss=1.8951174020767212, ---Single correct=0.515625
TRAIN---: 3---epoch:1---batch_idx: 70---Single loss=1.884650707244873, ---Single correct=0.515625
TRAIN---: 3---epoch:1---batch_idx: 71---Single loss=1.8197968006134033, ---Single correct=0.59375
TRAIN---: 3---epoch:1---batch_idx: 72---Single loss=1.8432519435882568, ---Single correct=0.546875
TRAIN---: 3---epoch:1---batch_idx: 73---Single loss=1.875030755996704, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 74---Single loss=1.9066437482833862, ---Single correct=0.515625
TRAIN---: 3---epoch:1---batch_idx: 75---Single loss=1.8470009565353394, ---Single correct=0.53125
TRAIN---: 3---epoch:1---batch_idx: 76---Single loss=1.818493127822876, ---Single correct=0.5625
TRAIN---: 3---epoch:1---batch_idx: 77---Single loss=1.8687665462493896, ---Single correct=0.515625
TRAIN---: 3---epoch:1---batch_idx: 78---Single loss=1.8358169794082642, ---Single correct=0.515625
TRAIN---: 3---epoch:1---batch_idx: 79---Single loss=1.7816781997680664, ---Single correct=0.640625
